logfile,group,file,subject,condition,symb,perm,Day,Block,Trial,Day_group
analysis_output.1904647.log,old,S009_G03_D01_B01_T01,S009,G03_D01_B01_T01,2.2931,0.2236,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S013_G03_D01_B01_T01,S013,G03_D01_B01_T01,2.2853,0.2273,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S019_G03_D01_B01_T01,S019,G03_D01_B01_T01,2.2806,0.2235,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S040_G03_D01_B01_T01,S040,G03_D01_B01_T01,2.2596,0.2235,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S081_G03_D01_B01_T01,S081,G03_D01_B01_T01,2.2423,0.2237,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S102_G03_D01_B01_T01,S102,G03_D01_B01_T01,2.2531,0.2256,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S103_G03_D01_B01_T01,S103,G03_D01_B01_T01,2.2358,0.2191,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S104_G03_D01_B01_T01,S104,G03_D01_B01_T01,2.2584,0.2222,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S107_G03_D01_B01_T01,S107,G03_D01_B01_T01,2.2609,0.2231,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S109_G03_D01_B01_T01,S109,G03_D01_B01_T01,2.2588,0.2355,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S110_G03_D01_B01_T01,S110,G03_D01_B01_T01,2.2438,0.2361,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S112_G03_D01_B01_T01,S112,G03_D01_B01_T01,2.5951,0.2257,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S113_G03_D01_B01_T01,S113,G03_D01_B01_T01,2.2604,0.221,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S116_G03_D01_B01_T01,S116,G03_D01_B01_T01,2.2846,0.2199,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S119_G03_D01_B01_T01,S119,G03_D01_B01_T01,2.2694,0.2211,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S120_G03_D01_B01_T01,S120,G03_D01_B01_T01,2.2729,0.2242,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S123_G03_D01_B01_T01,S123,G03_D01_B01_T01,2.6094,0.2535,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S125_G03_D01_B01_T01,S125,G03_D01_B01_T01,2.2507,0.224,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S126_G03_D01_B01_T01,S126,G03_D01_B01_T01,2.2619,0.2224,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S127_G03_D01_B01_T01,S127,G03_D01_B01_T01,2.2425,0.2227,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S128_G03_D01_B01_T01,S128,G03_D01_B01_T01,2.284,0.2246,D01,B01,T01,D01 Old
