subject,symb_D01,symb_D02,perm_D01,perm_D02
S001,2.2437,2.246,0.2398,0.2436
S002,2.2125,2.2185,0.2211,0.2219
S003,2.2741,2.2729,0.23,0.2569
S004,2.2483,2.2384,0.2216,0.2193
S005,2.2891,2.2818,0.2265,0.2293
S006,2.2523,2.2545,0.2247,0.2251
S007,2.2367,2.2378,0.2217,0.2222
S008,2.2911,2.7298,0.2245,0.2284
S009,2.2906,2.2886,0.2233,0.2222
S010,2.2777,2.2726,0.2234,0.2426
S011,2.2603,2.2565,0.2206,0.2508
S012,2.2425,2.2596,0.2621,0.2615
S013,2.2895,2.2892,0.2221,0.2213
S014,2.5887,2.217,0.2183,0.2289
S015,2.2537,2.2542,0.2241,0.2225
S016,2.2755,2.2725,0.2481,0.2644
S018,2.2838,2.2916,0.229,0.2314
S019,2.2834,2.2884,0.22335,0.2248
S020,2.2403,2.2433,0.2184,0.2193
S021,2.2462,2.2291,0.2188,0.2371
S023,2.2423,2.256,0.2209,0.2227
S024,2.2562,2.2626,0.2282,0.23
S025,2.2843,2.2869,0.2268,0.2278
S026,2.2816,2.2901,0.223,0.2243
S027,2.2525,2.2564,0.2574,0.2536
S028,2.2935,2.293,0.2555,0.2411
S030,2.2528,2.2612,0.2223,0.223
S031,2.2878,2.2892,0.2367,0.2328
S032,2.2544,2.2528,0.2263,0.2398
S033,2.2587,2.2642,0.2337,0.2257
S034,2.2755,2.2782,0.2315,0.2269
S035,2.2439,2.2369,0.2202,0.2196
S036,2.2723,2.272,0.2238,0.2241
S037,2.2617,2.262,0.2236,0.2242
S038,2.2717,2.2793,0.2297,0.2393
S039,2.2675,2.2686,0.2308,0.2308
S040,2.2678,2.2685,0.2236,0.228
S063,2.2818,2.2818,0.228,0.2281
S081,2.258,2.2648,0.2331,0.2318
S102,2.2713,2.276,0.2274,0.2286
S103,2.2528,2.2566,0.223,0.2226
S107,2.2695,2.2675,0.2238,0.2234
S109,2.2651,2.2587,0.2271,0.2215
S110,2.2619,2.2672,0.227,0.2336
S112,2.592,2.226,0.2306,0.2243
S113,2.2655,2.2699,0.2333,0.2398
S116,2.2888,2.2917,0.2199,0.2323
S119,2.2699,2.277,0.2219,0.2237
S120,2.277,2.2718,0.224,0.2231
S123,2.61,2.6104,0.2481,0.2279
S125,2.2481,2.253,0.2226,0.2224
S127,2.2588,2.2734,0.2248,0.226
S128,2.2937,2.2929,0.2278,0.2281
S129,2.2911,2.2922,0.2211,0.2245
S130,2.2842,2.2875,0.2274,0.2274
S131,2.6074,2.6022,0.2087,0.2128
S133,2.2921,2.2935,0.2302,0.2306
S134,2.1998,2.2119,0.2283,0.2304
S135,2.2883,2.2835,0.2609,0.25
S136,2.2847,2.2855,0.2262,0.2259
S137,2.2829,2.2817,0.228,0.2261
S138,2.6099,2.293,0.2307,0.2292
S139,2.2798,2.2849,0.2252,0.2262
S140,2.2738,2.2739,0.2211,0.2235
S141,2.2793,2.2805,0.2513,0.2386
S142,2.2604,2.2697,0.2224,0.2232
S143,2.2379,2.2414,0.224,0.2243
S145,2.288,2.2901,0.2284,0.2283
S146,2.2734,2.278,0.2302,0.2342
S154,2.2847,2.2882,0.2242,0.2265
S156,2.2936,2.2942,0.2399,0.2412
S157,2.2885,2.2918,0.2218,0.2236
S158,2.2388,2.2456,0.221,0.2393
